MW,GW,Task,Description,Skill,Other reqs,Pts,CST,Milestones,
Starting Area: 10 mins (13 Tasks = 130 Points) w/Trickster! Likely 15 w/o.,,,,,,,,pick 2 onion?,
FALSE,FALSE,Open the Leagues Menu,Open the Leagues Menu found within the Journal Panel., , ,10,0605,,
FALSE,FALSE,Complete the Leagues Tutorial,Complete the Leagues Tutorial and begin your adventure., , ,10,,,
FALSE,FALSE,Claim items from sage ,,,,,,,
FALSE,FALSE,Settings adjust,Turn off roof & disable level up interface,,,,,No point is doing rune mysteries? unlocked w/desert?,
FALSE,FALSE,Pickpocket a Citizen,Pickpocket a Man or a Woman.,1, ,10,,,
FALSE,FALSE,Open 28 Coin Pouches At Once,Open 28 Coin Pouches at once.,1,,10,,,
FALSE,FALSE,Achieve Your First Level Up,Level up any of your skills for the first time., , ,10,,,
FALSE,FALSE,Achieve Your First Level 5,,,,10,,,
FALSE,FALSE,Achieve Your First Level 10,"GET 15 THIEVING HERE, 4k xp ~ 100 pickpockets", ,,10,,,
FALSE,FALSE,Defeat a Goblin,Defeat a Goblin, ,"Get 2 att, 2 str, 5 def! Need 5 cmbt for slayer task and steel helm.",10,,,
FALSE,FALSE,Bury Some Bones,Bury any kind of Bones., , ,10,,,
FALSE,FALSE,Visit Death's Domain,Visit Death's Domain., , ,10,,,
FALSE,FALSE,Dance in a graveyard,Dance in a graveyard, , ,10,,,
FALSE,FALSE,Supply Run,"Buy pot, bucket, hammer, shears, chisel, knife, steel axe",,,,,buy some seeds for farming later at draynor,
FALSE,FALSE,Grab two onions,(This is for yellow dye needed later to dye red cape orange),,,,,,
FALSE,FALSE,Chop a log from a potato tree,Chop a log from a tree that is curiously in a potato field.,,,10,,,
FALSE,FALSE,Enter Draynor Manor,Enter Draynor Manor through the front door.,,,10,,,
FALSE,FALSE,Get a chair to follow you,Get a chair to follow you,,,10,,,
FALSE,FALSE,Cry in wheat field,,,,10,,,
FALSE,FALSE,Make some Flour,Make some Flour in a windmill.,,,10,,Second Region Unlocked,
FALSE,FALSE,Milk a cow,Milk a cow in Lumbridge,,,10,,,
FALSE,FALSE,Grab an egg for cook assist,,,,0,,,
FALSE,FALSE,Use Range in Lumbridge Castle,Use the Range in Lumbridge Castle to cook some food., ,Completion of Cook's Assistant,10,,,
FALSE,FALSE,Complete cooks asisstant,,,,10,,,
FALSE,FALSE,Spin a Ball of Wool,Use a Spinning Wheel to spin a Ball of Wool.,1,,10,,,
FALSE,FALSE,Complete Sheep Shearer,Complete the Sheep Shearer quest.,,,10,,,
Draynor Pt. 1,,,,,,,0620,,
FALSE,FALSE,Supply Run Pt 2,"Buy wines @ Draynor for food, also purchase barely seeds  for later task.",,,,,start vampire slayer,
FALSE,FALSE,Have Ned make you some rope,Have Ned make you some rope in Draynor Village,,,10,,,
FALSE,FALSE,Insult Aggie the Witch,Insult Aggie the Witch in Draynor Village,,,10,0725,,
FALSE,FALSE,Complete a Rooftop Agility Course,Complete a lap of any Rooftop Agility Course.,1, ,10,,,
FALSE,FALSE,Obtain a Mark of Grace,Obtain a Mark of Grace from any Rooftop Agility Course.,10,,10,,,
FALSE,FALSE,Complete the Draynor Agility Course,Complete a lap of the Draynor Rooftop Agility Course.,,,10,,,
FALSE,FALSE,Complete 10 Laps of the Draynor Agility Course,Complete 10 laps of the Draynor Rooftop Agility Course.,,,10,,,
FALSE,FALSE,Use a Fairy Ring,Use any Fairy Ring (go to swamp),,,10,,,
FALSE,FALSE,Enter Zanaris,Enter the lost city of Zanaris.,,,10,0615,,
